"Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK","ITLB_MISSES.MISS_CAUSES_A_WALK","MEM_LOAD_RETIRED.L1_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L2_MISS_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS"
"clean$omp$1","2082854000000","740418000000","610280000000","0","1400000","4199600000","103400000","41840000","51000000","22720000","0"
"multiply_matrices_ijk_ikj_2000_10$omp$1","648540000000","183298000000","151686000000","690000000","400000","176954600000","1199800000","50200000","1156600000","1134640000","18400000"
"multiply_matrices_ijk_ikj_1900_10$omp$1","556056000000","159588000000","131750000000","652600000","0","151234600000","1066400000","80480000","1004400000","987800000","14840000"
"multiply_matrices_ijk_ikj_2000_16$omp$1","496292000000","141154000000","116658000000","275600000","200000","159579200000","556000000","51440000","491560000","460960000","27800000"
"multiply_matrices_ijk_ikj_2000_25$omp$1","476204000000","135764000000","112296000000","116400000","0","162219400000","432200000","137240000","256480000","209640000","41480000"
"multiply_matrices_ijk_ikj_1800_10$omp$1","472828000000","140050000000","115708000000","485200000","400000","128154600000","889800000","63200000","843400000","830920000","10640000"
"multiply_matrices_ijk_ikj_2000_20$omp$1","472030000000","138856000000","114948000000","169600000","0","158482400000","486200000","92760000","380400000","342120000","34840000"
"multiply_matrices_ijk_ikj_1900_19$omp$1","451494000000","129928000000","107524000000","167200000","0","147585600000","501400000","122120000","359280000","324800000","30200000"
"multiply_matrices_ijk_ikj_2000_50$omp$1","431190000000","128344000000","106206000000","33200000","200000","160825000000","327000000","218040000","82960000","47760000","30920000"
"multiply_matrices_ijk_ikj_2000_40$omp$1","425156000000","126018000000","104184000000","45800000","0","156883800000","351000000","211760000","126800000","80000000","41000000"
"multiply_matrices_ijk_ikj_1800_15$omp$1","413508000000","118870000000","98224000000","221800000","600000","128928600000","471200000","50000000","406360000","386760000","17080000"
"multiply_matrices_ijk_ikj_1900_25$omp$1","408308000000","117658000000","97324000000","98000000","200000","138732200000","424200000","175840000","221440000","181760000","34800000"
"multiply_matrices_ijk_ikj_1900_20$omp$1","404702000000","120544000000","99600000000","152000000","0","135516000000","471600000","131040000","328040000","295800000","28400000"
"multiply_matrices_ijk_ikj_2000_80$omp$1","402400000000","130770000000","108112000000","13600000","0","144052800000","2386000000","2286600000","63920000","41040000","19120000"
"multiply_matrices_ijk_ikj_2000_125$omp$1","399038000000","135164000000","111914000000","7800000","200000","138981000000","3103600000","2952160000","184000000","168480000","13440000"
"multiply_matrices_ijk_ikj_1700_10$omp$1","398306000000","115732000000","95460000000","370800000","0","109457600000","766200000","70440000","694000000","686280000","6960000"
"multiply_matrices_ijk_ikj_2000_100$omp$1","397958000000","132714000000","109730000000","11400000","0","137474600000","3209400000","3162520000","84520000","68160000","12760000"
"multiply_matrices_ijk_ikj_1800_12$omp$1","392228000000","118368000000","97708000000","343200000","600000","116797800000","591200000","33280000","557640000","541680000","13560000"
"multiply_matrices_ijk_ikj_2000_250$omp$1","390334000000","133684000000","110568000000","5000000","200000","138261800000","2638200000","2051040000","634120000","624960000","8160000"
"multiply_matrices_ijk_ikj_2000_200$omp$1","389048000000","135706000000","111580000000","4200000","200000","137199200000","2799200000","2177800000","648960000","637120000","10200000"
"multiply_matrices_ijk_ikj_2000_400$omp$1","384624000000","132852000000","108364000000","7200000","0","139467400000","2522200000","2167760000","389560000","383080000","6000000"
"multiply_matrices_ijk_ikj_2000_500$omp$1","383720000000","131702000000","108802000000","9800000","0","140708800000","2494400000","2186680000","331040000","321400000","9040000"
"multiply_matrices_ijk_ikj_1900_38$omp$1","383702000000","111352000000","92042000000","42800000","0","139277400000","315400000","188360000","107200000","69840000","32960000"
"multiply_matrices_ijk_ikj_1800_18$omp$1","382720000000","111100000000","91864000000","150600000","0","122426000000","390200000","60640000","316200000","293920000","19240000"
"multiply_matrices_ijk_ikj_1900_50$omp$1","369680000000","107136000000","88560000000","25600000","0","137910000000","279400000","188120000","67160000","39440000","24880000"
"multiply_matrices_ijk_ikj_1900_95$omp$1","350480000000","112232000000","92878000000","8800000","0","120218600000","2845600000","2824240000","61440000","46720000","11960000"
"multiply_matrices_ijk_ikj_1800_25$omp$1","347150000000","103492000000","85492000000","79800000","0","117153000000","337600000","123000000","190360000","162360000","23720000"
"multiply_matrices_ijk_ikj_1900_76$omp$1","346038000000","107410000000","88788000000","12600000","1400000","127960000000","1102400000","964640000","53320000","33280000","16880000"
"multiply_matrices_ijk_ikj_1800_20$omp$1","344138000000","106302000000","87808000000","124200000","0","115915400000","362800000","74760000","271200000","246840000","21760000"
"multiply_matrices_ijk_ikj_1900_100$omp$1","341186000000","111578000000","92222000000","9200000","0","117853600000","2745200000","2712000000","62000000","48240000","10520000"
"multiply_matrices_ijk_ikj_1800_30$omp$1","339634000000","101298000000","83738000000","57000000","600000","119601200000","295200000","141280000","128280000","104240000","21280000"
"multiply_matrices_ijk_ikj_1900_190$omp$1","337358000000","114470000000","94028000000","3800000","0","118429600000","2328200000","1895120000","469800000","460600000","7480000"
"multiply_matrices_ijk_ikj_1800_24$omp$1","332548000000","102930000000","85046000000","87800000","0","116019200000","369200000","129320000","213360000","183840000","26160000"
"multiply_matrices_ijk_ikj_1600_10$omp$1","332054000000","93172000000","77178000000","258600000","0","90713400000","606400000","44680000","564960000","557800000","5920000"
"multiply_matrices_ijk_ikj_1900_475$omp$1","330858000000","115766000000","95500000000","7200000","400000","119716000000","2127000000","1877080000","318000000","305280000","10480000"
"multiply_matrices_ijk_ikj_1900_380$omp$1","329912000000","113528000000","92478000000","3800000","0","119307800000","2120000000","1792920000","366800000","360760000","5680000"
"multiply_matrices_ijk_ikj_1700_17$omp$1","321326000000","90582000000","74916000000","131000000","0","101104200000","381400000","74800000","291360000","277640000","11680000"
"multiply_matrices_ijk_ikj_1800_45$omp$1","315628000000","96056000000","79310000000","27200000","200000","115579000000","256200000","171280000","68240000","44880000","20080000"
"multiply_matrices_ijk_ikj_1800_50$omp$1","314328000000","96432000000","79620000000","21200000","0","116800000000","263200000","179360000","56840000","35880000","17560000"
"multiply_matrices_ijk_ikj_1800_36$omp$1","313658000000","97452000000","80338000000","39200000","200000","115420800000","261400000","153240000","96240000","72240000","20840000"
"multiply_matrices_ijk_ikj_1800_40$omp$1","309934000000","97278000000","80228000000","31600000","200000","115137000000","263400000","163320000","86520000","60120000","22800000"
"multiply_matrices_ijk_ikj_1800_75$omp$1","303598000000","100466000000","83096000000","11400000","400000","110755600000","1231200000","1125880000","52040000","35400000","13280000"
"multiply_matrices_ijk_ikj_1800_60$omp$1","298844000000","96508000000","79638000000","17400000","0","114646800000","397800000","312880000","49040000","32640000","13800000"
"multiply_matrices_ijk_ikj_1800_90$omp$1","297734000000","103084000000","85254000000","9600000","200000","102185400000","2246600000","2252160000","52320000","39200000","10800000"
"multiply_matrices_ijk_ikj_1800_72$omp$1","295210000000","99168000000","81818000000","11400000","200000","110870000000","985200000","847600000","51360000","35160000","13880000"
"multiply_matrices_ijk_ikj_1700_25$omp$1","292482000000","84128000000","69618000000","70000000","0","100022000000","302400000","121880000","155080000","137920000","14640000"
"multiply_matrices_ijk_ikj_1800_100$omp$1","290106000000","101740000000","83820000000","7600000","0","100574200000","2308600000","2286720000","61560000","49560000","9760000"
"multiply_matrices_ijk_ikj_1700_20$omp$1","289890000000","85638000000","70822000000","94600000","0","96793600000","328600000","84840000","234080000","218360000","13080000"
"multiply_matrices_ijk_ikj_1800_150$omp$1","289470000000","100348000000","82984000000","3400000","11800000","102565000000","2059000000","1858680000","198080000","189880000","6440000"
"multiply_matrices_ijk_ikj_1800_120$omp$1","287968000000","99768000000","82258000000","5800000","1400000","99635000000","2254000000","2225960000","106200000","95600000","8480000"
"multiply_matrices_ijk_ikj_1800_225$omp$1","284786000000","104700000000","86218000000","3200000","2400000","102112400000","1953400000","1474760000","465920000","459120000","6120000"
"multiply_matrices_ijk_ikj_1800_180$omp$1","284352000000","99948000000","82144000000","3800000","0","101332000000","1987600000","1642000000","340080000","332280000","7040000"
"multiply_matrices_ijk_ikj_1800_200$omp$1","283648000000","102598000000","84180000000","3200000","200000","100491600000","1980200000","1566360000","446760000","438520000","7040000"
"multiply_matrices_ijk_2000$omp$1","281742000000","1017088000000","840980000000","66634600000","400000","79018600000","80177000000","51809680000","28230120000","26222600000","1089280000"
"multiply_matrices_ijk_ikj_1800_300$omp$1","281434000000","101828000000","83248000000","2400000","0","101263200000","1766200000","1436240000","390920000","385480000","4680000"
"multiply_matrices_ijk_ikj_1800_450$omp$1","281262000000","98098000000","80994000000","4600000","0","102695600000","1842600000","1581480000","275000000","268280000","6440000"
"multiply_matrices_ijk_ikj_1800_360$omp$1","280762000000","98928000000","80706000000","3200000","400000","103103200000","1754800000","1402200000","351120000","346280000","3680000"
"multiply_matrices_ijk_ikj_1700_34$omp$1","279804000000","82562000000","68212000000","35600000","0","99479400000","235400000","130840000","91200000","72960000","16360000"
"multiply_matrices_ijk_ikj_1500_10$omp$1","273586000000","77664000000","64260000000","142200000","200000","74386400000","517800000","66480000","464080000","459560000","3680000"
"multiply_matrices_ijk_ikj_1700_50$omp$1","264812000000","79282000000","65522000000","18200000","200000","99484600000","197800000","131400000","48560000","34160000","12240000"
"func@0x18000d515","258228000000","97086000000","78896000000","800000","400000","64115200000","4400000","1400000","560000","120000","40000"
"multiply_matrices_ijk_ikj_1600_16$omp$1","254092000000","70786000000","58602000000","109400000","0","81902400000","272000000","18400000","246920000","239960000","6440000"
"multiply_matrices_ijk_ikj_1700_85$omp$1","250546000000","82014000000","67904000000","8400000","0","88473400000","1642600000","1579200000","39880000","28920000","9120000"
"multiply_matrices_ijk_ikj_1700_68$omp$1","249562000000","79162000000","65508000000","10600000","200000","92688600000","714400000","665440000","37840000","26040000","10360000"
"multiply_matrices_ijk_ikj_1700_100$omp$1","244420000000","84356000000","69648000000","5600000","0","84925400000","1929000000","1903880000","47680000","38760000","6960000"
